spec,env,r,p
OH,FOTCW,-0.020993724,0.039488746
OH,CIV,0.012466733,0.221463527
OH,FS,0.016079618,0.114792851
OH,FA,-0.004276532,0.674926407
OH,NOCR,-0.006386867,0.531079454
OH,BWOO,0.004614663,0.650867658
OH,BWOC,-0.021729689,0.033067948
OH,TOMI,0.277129971,0.000000000
OH,TFP,0.030532780,0.002744332
OH,TFT,-0.006850800,0.501674093
OH,SPOF,-0.002205569,0.828755547
OH,PDOIF,-0.040177569,0.000080886
OH,PDOUF,-0.033573796,0.000989582
OH,PDOCF,-0.014230087,0.162835280
OH,OER,0.732803217,0.000000000
OH,TCT,0.253903935,0.000000000
OH,UROCG,0.093224546,0.000000000
OH,BGV,0.017940365,0.078487089
OH,TLOF,0.790818416,0.000000000
OH,API,-0.263403302,0.000000000
OH,TOCW,0.008032255,0.430856533
OH,SWS,-0.002084776,0.838000475
OH,FOCG,0.010315003,0.311725782
OH,TOCA,-0.005379943,0.597770972
OH,AH,-0.007256906,0.476659329
WA,C_C,0.010234720,0.315507047
WA,C_SI,-0.043003692,0.000024509
WA,C_MN,-0.009818181,0.335607245
WA,C_P,-0.006426067,0.528561423
WA,C_S1,-0.061903900,0.000000001
WA,C_CU,-0.011646774,0.253360729
WA,C_MO,-0.021699983,0.033308652
WA,C_CAO,0.011894397,0.243407838
WA,C_SIO2,0.008254569,0.418210423
WA,C_MGO,0.000930042,0.927327196
WA,C_AL2O3,-0.008380276,0.411157447
WA,C_FEO,-0.064425758,0.000000000
WA,C_S2,-0.000340546,0.973358037
WA,BA,0.002117535,0.835490948
WA,CCO,-0.019723388,0.053059275
WA,CCO2,0.022284429,0.028839044
WA,CH2,0.005824598,0.567852884
WA,CN2,0.005708573,0.575590089
WA,C_SO2,-0.004449686,0.662562695
WA,PE,0.026614872,0.009039613
WA,FOCA,0.037244558,0.000258389
WA,POCA,-0.021004749,0.039385261
WA,OEF,-0.003301273,0.746125117
WA,OEP,-0.003361771,0.741637300
WA,TOHA,-0.003813809,0.708391474
WA,POHA,0.011954263,0.241043413
WA,AWS,-0.038417066,0.000163963
WA,FOCW,-0.005177675,0.611613191
WA,BKE,-0.007032982,0.490367122
WA,FOTCW,0.005633642,0.580613260
WA,CIV,0.024242603,0.017416567
WA,FS,-0.003320190,0.744720890
WA,FA,-0.002343009,0.818265465
WA,NOCR,0.004480134,0.660397973
WA,BWOO,0.014850203,0.145275818
WA,BWOC,0.004489387,0.659740671
WA,TOMI,0.033371931,0.001061647
WA,TFP,0.165606515,0.000000000
WA,TFT,0.105310057,0.000000000
WA,SPOF,-0.366806774,0.000000000
WA,PDOIF,-0.035867003,0.000433883
WA,PDOUF,0.308362257,0.000000000
WA,PDOCF,-0.002130504,0.834497963
WA,OER,0.019749203,0.052748945
WA,TCT,0.054274522,0.000000100
WA,UROCG,0.081393618,0.000000000
WA,BGV,0.003645381,0.720717899
WA,TLOF,0.013686969,0.179489593
WA,API,0.056467449,0.000000030
WA,TOCW,-0.779201420,0.000000000
WA,SWS,-0.006446444,0.527254962
WA,FOCG,-0.018593740,0.068208873
WA,TOCA,-0.005495453,0.589930462
WA,AH,0.004127580,0.685632813
HA,C_C,-0.002299666,0.821570144
HA,C_SI,-0.029999049,0.003254323
HA,C_MN,-0.011661385,0.252765707
HA,C_P,-0.003383684,0.740013872
HA,C_S1,-0.043404104,0.000020571
HA,C_CU,0.011155908,0.273919389
HA,C_MO,0.000571928,0.955271436
HA,C_CAO,-0.001161538,0.909308567
HA,C_SIO2,0.002558536,0.801881319
HA,C_MGO,-0.008108307,0.426505642
HA,C_AL2O3,0.005721231,0.574743572
HA,C_FEO,-0.046757420,0.000004476
HA,C_S2,-0.004375343,0.667859979
HA,BA,0.006904150,0.498348765
HA,CCO,-0.016255838,0.110869580
HA,CCO2,0.004899986,0.630844221
HA,CH2,-0.009433801,0.354870923
HA,CN2,0.010026073,0.325474498
HA,C_SO2,0.013280842,0.192747422
HA,PE,-0.007709941,0.449579454
HA,FOCA,-0.328983885,0.000000000
HA,POCA,-0.014129008,0.165843174
HA,OEF,0.005973213,0.558015752
HA,OEP,-0.007013826,0.491549543
HA,TOHA,0.008356410,0.412491011
HA,POHA,-0.017761792,0.081505640
HA,AWS,-0.030486347,0.002785611
HA,FOCW,-0.008922910,0.381532022
HA,BKE,0.005384103,0.597487786
HA,FOTCW,-0.005461380,0.592238330
HA,CIV,-0.002847273,0.780068790
HA,FS,0.006738757,0.508695907
HA,FA,-0.000063094,0.995063096
HA,NOCR,-0.016503369,0.105538374
HA,BWOO,-0.001089073,0.914944359
HA,BWOC,0.003155288,0.756989701
HA,TOMI,-0.075259302,0.000000000
HA,TFP,-0.145572263,0.000000000
HA,TFT,-0.002989888,0.769357391
HA,SPOF,-0.002634559,0.796122412
HA,PDOIF,0.163757406,0.000000000
HA,PDOUF,-0.021368026,0.036101969
